"","Date","Year","Month","Country","Reef_name","Site_name","Reef_zone","N","W","Dive","Depth_(m)","Methodology","Transect","Microhabitat_No","Microhabitat_label","Fish_tag_ID","Family","Genus","Fish_species","Humid_weight_(gr)","SL(mm)","TL(mm)","DNA_method","Group_humid_weight","Box_storage","Note","Photo quality","STRIwebsite","Park_region"
"14","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_014","Gobiidae","Coryphopterus","Coryphopterus dicrus","0.17",NA,24.97,NA,NA,NA,NA,NA,NA,"North"
"15","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_015","Gobiidae","Coryphopterus","Coryphopterus dicrus","0.123",NA,21.3,NA,NA,NA,NA,NA,NA,"North"
"16","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_016","Gobiidae","Coryphopterus","Coryphopterus dicrus","0.17299999999999999",NA,24.2,NA,NA,NA,NA,NA,NA,"North"
"17","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_017","Gobiidae","Coryphopterus","Coryphopterus dicrus","0.17499999999999999",NA,24.6,NA,NA,NA,NA,NA,NA,"North"
"18","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_018","Gobiidae","Coryphopterus","Coryphopterus dicrus","0.11700000000000001",NA,22.2,NA,NA,NA,NA,NA,NA,"North"
"19","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_019","Gobiidae","Coryphopterus","Coryphopterus dicrus","0.11899999999999999",NA,21.55,NA,NA,NA,NA,NA,NA,"North"
"20","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_020","Gobiidae","Coryphopterus","Coryphopterus dicrus","0.126",NA,22.07,NA,NA,NA,NA,NA,NA,"North"
"21","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_021","Gobiidae","Elacatinus","Elacatinus oceanops","5.5E-2",NA,17.73,NA,NA,NA,NA,NA,NA,"North"
"22","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_022","Labrisomidae","Starksia","Starksia ocellata","4.3999999999999997E-2",NA,15.26,NA,NA,NA,NA,NA,NA,"North"
"23","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_023","Labrisomidae","Starksia","Starksia ocellata","4.7E-2",NA,17.12,NA,NA,NA,NA,NA,NA,"North"
"24","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_024","Labrisomidae","Starksia","Starksia ocellata","0.14000000000000001",NA,23.46,NA,NA,NA,NA,NA,NA,"North"
"25","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_025","Labrisomidae","Starksia","Starksia ocellata","0.13100000000000001",NA,22.13,NA,NA,NA,NA,NA,NA,"North"
"26","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_026","Labrisomidae","Starksia","Starksia ocellata","8.1000000000000003E-2",NA,18.67,NA,NA,NA,NA,NA,NA,"North"
"27","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_027","Labrisomidae","Starksia","Starksia ocellata","0.27700000000000002",NA,29.91,NA,NA,NA,NA,NA,NA,"North"
"28","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_028","Labrisomidae","Starksia","Starksia ocellata","3.4000000000000002E-2",NA,14.72,NA,NA,NA,NA,NA,NA,"North"
"29","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_029","Gobiidae","Lythrypnus","Lythrypnus nesiotes","3.5999999999999997E-2",NA,14.08,"Metabarcoding",NA,NA,NA,NA,NA,"North"
"30","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_030","Gobiidae","Lythrypnus","Lythrypnus nesiotes","2.1999999999999999E-2",NA,11.82,"Metabarcoding",NA,NA,NA,NA,NA,"North"
"31","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_031","Gobiidae","Lythrypnus","Lythrypnus spilus","2.1999999999999999E-2",NA,13.16,NA,NA,NA,NA,NA,NA,"North"
"32","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_032","Gobiidae","Lythrypnus","Lythrypnus nesiotes","2.5000000000000001E-2",NA,12.36,"Metabarcoding",NA,NA,NA,NA,NA,"North"
"33","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_033","Gobiidae","Tigrigobius","Tigrigobius redimiculus","0.02",NA,12.56,NA,NA,NA,NA,NA,NA,"North"
"34","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_034","Gobiidae","Tigrigobius","Tigrigobius redimiculus","7.8E-2",NA,18.87,NA,NA,NA,NA,NA,NA,"North"
"35","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_035","Gobiidae","Tigrigobius","Tigrigobius redimiculus","1.7999999999999999E-2",NA,12.66,NA,NA,NA,NA,NA,NA,"North"
"36","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_036","Gobiidae","Tigrigobius","Tigrigobius redimiculus","5.0999999999999997E-2",NA,16.82,NA,NA,NA,NA,NA,NA,"North"
"37","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_037","Gobiidae","Tigrigobius","Tigrigobius redimiculus","4.3999999999999997E-2",NA,15.89,NA,NA,NA,NA,NA,NA,"North"
"38","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_038","Gobiidae","Tigrigobius","Tigrigobius redimiculus","7.6999999999999999E-2",NA,18.32,NA,NA,NA,NA,NA,NA,"North"
"39","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_039","Gobiidae","Tigrigobius","Tigrigobius redimiculus","1.0999999999999999E-2",NA,11.18,NA,NA,NA,NA,NA,NA,"North"
"40","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_040","Gobiidae","Tigrigobius","Tigrigobius redimiculus","6.2E-2",NA,18.62,NA,NA,NA,NA,NA,NA,"North"
"41","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_041","Gobiidae","Tigrigobius","Tigrigobius redimiculus","6.4000000000000001E-2",NA,17.36,NA,NA,NA,NA,NA,NA,"North"
"42","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_042","Gobiidae","Tigrigobius","Tigrigobius redimiculus","1.2999999999999999E-2",NA,11.33,NA,NA,NA,NA,NA,NA,"North"
"43","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_043","Gobiidae","Tigrigobius","Tigrigobius redimiculus","4.8000000000000001E-2",NA,16.22,NA,NA,NA,NA,NA,NA,"North"
"44","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_044","Gobiidae","Tigrigobius","Tigrigobius redimiculus","4.2000000000000003E-2",NA,16.31,NA,NA,NA,NA,NA,NA,"North"
"45","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_045","Gobiidae","Tigrigobius","Tigrigobius redimiculus","1.6E-2",NA,12.96,NA,NA,NA,NA,NA,NA,"North"
"46","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_046","Gobiidae","Tigrigobius","Tigrigobius redimiculus","2.4E-2",NA,13.82,NA,NA,NA,NA,NA,NA,"North"
"47","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_047","Gobiidae","Tigrigobius","Tigrigobius redimiculus","3.6999999999999998E-2",NA,14.68,NA,NA,NA,NA,NA,NA,"North"
"48","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_048","Gobiidae","Tigrigobius","Tigrigobius redimiculus","4.3999999999999997E-2",NA,16.88,NA,NA,NA,NA,NA,NA,"North"
"49","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_049","Gobiidae","Tigrigobius","Tigrigobius redimiculus","0.02",NA,13.54,NA,NA,NA,NA,NA,NA,"North"
"50","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_050","Gobiidae","Tigrigobius","Tigrigobius redimiculus","1.4E-2",NA,12.17,NA,NA,NA,NA,NA,NA,"North"
"51","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_051","Gobiidae","Tigrigobius","Tigrigobius redimiculus","1.4E-2",NA,12.39,NA,NA,NA,NA,NA,NA,"North"
"52","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_052","Gobiidae","Tigrigobius","Tigrigobius redimiculus","7.0000000000000001E-3",NA,10.92,NA,NA,NA,NA,NA,NA,"North"
"53","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_053","Gobiidae","Coryphopterus","Coryphopterus personatus","0.122",NA,23.22,NA,NA,NA,NA,NA,NA,"North"
"54","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_054","Gobiidae","Coryphopterus","Coryphopterus personatus","0.13400000000000001",NA,24.36,NA,NA,NA,NA,NA,NA,"North"
"55","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_055","Gobiidae","Coryphopterus","Coryphopterus personatus","9.2999999999999999E-2",NA,21.41,NA,NA,NA,NA,NA,NA,"North"
"56","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_056","Gobiidae","Coryphopterus","Coryphopterus personatus","0.112",NA,23.59,NA,NA,NA,NA,NA,NA,"North"
"57","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_057","Gobiidae","Coryphopterus","Coryphopterus personatus","0.109",NA,22.83,NA,NA,NA,NA,NA,NA,"North"
"58","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_058","Gobiidae","Coryphopterus","Coryphopterus personatus","9.1999999999999998E-2",NA,19.15,NA,NA,NA,NA,NA,NA,"North"
"59","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_059","Gobiidae","Coryphopterus","Coryphopterus personatus","3.4000000000000002E-2",NA,15.75,NA,NA,NA,NA,NA,NA,"North"
"60","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_060","Gobiidae","Coryphopterus","Coryphopterus personatus","5.8000000000000003E-2",NA,18.8,NA,NA,NA,NA,NA,NA,"North"
"61","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_062","Labrisomidae","Malacoctenus","Malacoctenus triangulatus","0.224",NA,28.27,NA,NA,NA,NA,NA,NA,"North"
"62","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_063","Labrisomidae","Malacoctenus","Malacoctenus triangulatus","0.64400000000000002",NA,38.71,NA,NA,NA,NA,NA,NA,"North"
"63","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_064","Labrisomidae","Malacoctenus","Malacoctenus triangulatus","0.48199999999999998",NA,36.18,NA,NA,NA,NA,NA,NA,"North"
"64","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_065","Labrisomidae","Malacoctenus","Malacoctenus triangulatus","0.60199999999999998",NA,37.89,NA,NA,NA,NA,NA,NA,"North"
"65","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_066","Apogonidae","Phaeoptyx","Phaeoptyx pigmentaria","6.8000000000000005E-2",NA,19.78,NA,NA,NA,NA,NA,NA,"North"
"66","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_067","Apogonidae","Phaeoptyx","Phaeoptyx conklini","1.4119999999999999",NA,45.26,NA,NA,NA,NA,NA,NA,"North"
"67","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_068","Apogonidae","Phaeoptyx","Phaeoptyx conklini","1.054",NA,43.79,NA,NA,NA,NA,NA,NA,"North"
"68","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_069","Apogonidae","Apogon","Apogon maculatus","1.5780000000000001",NA,48.19,NA,NA,NA,NA,NA,NA,"North"
"69","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_070","Apogonidae","Apogon","Apogon maculatus","3.5329999999999999",NA,63.75,NA,NA,NA,NA,NA,NA,"North"
"70","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_074","Labrisomidae","Malacoctenus","Malacoctenus triangulatus","9.5000000000000001E-2",NA,21.51,NA,NA,NA,NA,NA,NA,"North"
"71","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_076","Blenniidae","Hypleurochilus","Hypleurochilus bermudensis","0.221",NA,23.8,NA,NA,NA,"Weird coloration",NA,NA,"North"
"72","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_077","Tripterygiidae","Enneanectes","Enneanectes altivelis","0.30099999999999999",NA,30.58,NA,NA,NA,"Weird coloration",NA,NA,"North"
"73","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_078","Labrisomidae","Malacoctenus","Malacoctenus triangulatus","0.44",NA,34.8,NA,NA,NA,NA,NA,NA,"North"
"74","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_079","Blenniidae","Parablennius","Parablennius marmoreus","0.498",NA,36.01,NA,NA,NA,NA,NA,NA,"North"
"75","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_080","Blenniidae","Parablennius","Parablennius marmoreus","0.60199999999999998",NA,38.65,NA,NA,NA,NA,NA,NA,"North"
"76","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_081","Labrisomidae","Starksia","Starksia ocellata","0.19600000000000001",NA,26.45,NA,NA,NA,NA,NA,NA,"North"
"77","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_082","Labrisomidae","Starksia","Starksia ocellata","0.10199999999999999",NA,20.45,NA,NA,NA,NA,NA,NA,"North"
"78","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_083","Labrisomidae","Starksia","Starksia ocellata","0.107",NA,21.82,NA,NA,NA,NA,NA,NA,"North"
"79","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_084","Labrisomidae","Starksia","Starksia ocellata","7.4999999999999997E-2",NA,18.89,NA,NA,NA,NA,NA,NA,"North"
"80","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_085","Labrisomidae","Starksia","Starksia ocellata","7.9000000000000001E-2",NA,20.49,NA,NA,NA,NA,NA,NA,"North"
"81","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_086","Labrisomidae","Starksia","Starksia ocellata","3.1E-2",NA,14.94,NA,NA,NA,NA,NA,NA,"North"
"82","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_087","Labrisomidae","Starksia","Starksia ocellata","3.2000000000000001E-2",NA,15.55,NA,NA,NA,NA,NA,NA,"North"
"83","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_088","Gobiidae","Lythrypnus","Lythrypnus nesiotes","5.3999999999999999E-2",NA,17.22,"Metabarcoding",NA,NA,NA,NA,NA,"North"
"84","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_089","Gobiidae","Lythrypnus","Lythrypnus nesiotes","4.5999999999999999E-2",NA,16.02,"Metabarcoding",NA,NA,NA,NA,NA,"North"
"85","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_090","Gobiidae","Lythrypnus","Lythrypnus nesiotes","3.2000000000000001E-2",NA,14.01,"Metabarcoding",NA,NA,NA,NA,NA,"North"
"86","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_091","Gobiidae","Lythrypnus","Lythrypnus nesiotes","2.1999999999999999E-2",NA,12.02,"Metabarcoding",NA,NA,NA,NA,NA,"North"
"87","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_092","Gobiidae","Lythrypnus","Lythrypnus spilus","3.5999999999999997E-2",NA,15.65,NA,NA,NA,NA,NA,NA,"North"
"88","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_093","Chaenopsidae","Emblemariopsis","Emblemariopsis diaphana","0.1",NA,23.23,"Metabarcoding",NA,NA,NA,NA,NA,"North"
"89","August 22th, 2023","2023",8,"Mexico","Blanquilla","BLNQ002","Back",19.22389,"-96.095290000000006",NA,"8","CryptoStation","CS","CS002",NA,"VER23.8F_094","Chaenopsidae","Emblemariopsis","Emblemariopsis diaphana","0.03",NA,15.37,"Metabarcoding",NA,NA,NA,NA,NA,"North"
